Object ID;Bike route name;Street name;Bikeway type;Subtype;Status;Street segment type;Overall direction;Bikeway direction;Vehicle direction;Speed limit;Surface type;AAA Network;AAA segment;W/N bound type;E/S bound type;Snow removal;Segment length;Year of construction;Construction note;Upgrade year;Notes;Geom;geo_point_2d
1;Ridgeway;E 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;41.69150129;1998;year const- source unknown;;;[-123.03652523994593,49.229274610586614] [-123.03675113001289,49.22927459921162] [-123.03709787191924,49.229275766605795];49.229274954898074,-123.0368115563201
2;45th Ave;E 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;50.30453469;2013;;;;[-123.08859175750187,49.229135682851826] [-123.08880738678712,49.22913792441618] [-123.08928260531644,49.22914287790363];49.22913927829063,-123.08893718143088
3;45th Ave;W 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;118.289611;2011;;;;[-123.11634290920549,49.229815951065305] [-123.1163429476831,49.22981595912229] [-123.11796539079087,49.22987196704184];49.22984396240385,-123.11715414959265
4;45th Ave;W 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;68.3527857;2011;;;;[-123.114548798304,49.22975326780692] [-123.11538661498763,49.229782468266116] [-123.1154863093889,49.22978597484318];49.22976960707784,-123.1150175543453
5;45th Ave;W 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;191.9184427;2011;;;;[-123.10826987002669,49.22953494286843] [-123.10826992359766,49.22953494461727] [-123.11090224130841,49.229625888464014];49.229580415615295,-123.10958605566927
6;45th Ave;W 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;68.42908306;2011;;;;[-123.10733114655814,49.229504367839894] [-123.10826987002669,49.22953494286843];49.22951965535417,-123.10780050829241
7;45th Ave;W 46th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;49.69129943;2011;;;;[-123.12679920916291,49.229252485141856] [-123.12679924763945,49.229252492295814] [-123.12748076007163,49.229276206638374];49.22926434878644,-123.1271399842994
8;45th Ave;W 46th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;72.95953476;2011;;;;[-123.12407956118294,49.22915768863259] [-123.12508024863914,49.22919255811904];49.22917512337581,-123.12457990491103
9;45th Ave;W 46th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;27.95902391;2011;;;;[-123.12784855594204,49.229289051992374] [-123.12823203066613,49.22930244367462];49.229295747833504,-123.1280402933041
10;45th Ave;W 46th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;216.8236811;2011;;;;[-123.12902689268172,49.229330069984734] [-123.1320007861552,49.229433652040385];49.229381861012556,-123.13051383941846
